RunId,ConfigId,ConfigName,PipelineName,PipelinePath,SourceSystem,TargetName,EnvironmentName,StartTime,EndTime,Status,TriggerType,TriggeredBy,TotalTasks,SuccessTasks,FailedTasks,SkippedTasks,RestartFlag,AttemptNumber,CreatedAt,PipelineRunId
202609011115228560,18,SAMMS Orders Bronze,pl_SaveOrders,/pipelines/pl_SaveOrders,SAMMS,BR,DEV,2026-09-01T11:15:16.690Z,2026-09-01T11:27:57.152Z,SUCCESS,MANUAL,MANUAL,2,2,0,0,0,1,2026-09-01T11:15:16.690Z,51d2b2a8-f55a-4c15-81a5-8a10d317f1ae
202609011043370438,18,SAMMS Orders Bronze,pl_SaveOrders,/pipelines/pl_SaveOrders,SAMMS,BR,DEV,2026-09-01T10:43:31.706Z,2026-09-01T10:56:03.003Z,SUCCESS,MANUAL,MANUAL,2,2,0,0,0,1,2026-09-01T10:43:31.706Z,328316bf-c54a-4380-9fd7-d644d5fc41c8
20260907085246,102,QQ_GLTRAN Gold Pipeline,nb_qq_gltran_slv_to_gld,None,LAKEHOUSE,GL,DEV,2026-09-07T08:52:59.413Z,2026-09-07T08:55:30.675Z,SUCCESS,SCHEDULE,Fabric,1,1,0,0,0,1,2026-09-07T08:52:47.568Z,49061cae-9c41-49bf-8a9d-5bcf8fc7e716
202608291129561210,138,CDC Orders Bronze,pl_Orders,BHG-DATA-PLATFORM-CORE-DEV/2_Engineering/3_Orchestration/pl_Orders,SAMMS,BR,DEV,2026-08-29T11:29:49.948Z,,RUNNING,SCHEDULE,Fabric,3,0,0,0,0,1,2026-08-29T11:29:49.948Z,02866ca0-860a-4e9f-8134-b92893c72dfb
202608291028377595,138,CDC Orders Bronze,pl_Orders,BHG-DATA-PLATFORM-CORE-DEV/2_Engineering/3_Orchestration/pl_Orders,SAMMS,BR,DEV,2026-08-29T10:28:31.724Z,,RUNNING,SCHEDULE,Fabric,3,0,0,0,0,1,2026-08-29T10:28:31.724Z,94ef01c5-03a1-46bd-a390-5db343d71b93
202608291250544987,138,CDC Orders Bronze,pl_Orders,BHG-DATA-PLATFORM-CORE-DEV/2_Engineering/3_Orchestration/pl_Orders,SAMMS,BR,DEV,2026-08-29T12:50:48.421Z,,RUNNING,SCHEDULE,Fabric,3,0,0,0,0,1,2026-08-29T12:50:48.421Z,c52a003d-b50f-4815-ad8f-03863584bc4b
202608291226618124,138,CDC Orders Bronze,pl_Orders,BHG-DATA-PLATFORM-CORE-DEV/2_Engineering/3_Orchestration/pl_Orders,SAMMS,BR,DEV,2026-08-29T12:26:56.038Z,,RUNNING,SCHEDULE,Fabric,3,0,0,0,0,1,2026-08-29T12:26:56.038Z,dc23b4ba-2ce0-47ec-ab76-b99d4a09d211
202608291055580707,138,CDC Orders Bronze,pl_Orders,BHG-DATA-PLATFORM-CORE-DEV/2_Engineering/3_Orchestration/pl_Orders,SAMMS,BR,DEV,2026-08-29T10:55:52.847Z,,RUNNING,SCHEDULE,Fabric,3,0,0,0,0,1,2026-08-29T10:55:52.847Z,d35ec2f7-0dfa-4a2b-9038-3b2432e9b372
202608291340519374,138,CDC Orders Bronze,pl_Orders,BHG-DATA-PLATFORM-CORE-DEV/2_Engineering/3_Orchestration/pl_Orders,SAMMS,BR,DEV,2026-08-29T13:40:46.315Z,,RUNNING,SCHEDULE,Fabric,3,0,0,0,0,1,2026-08-29T13:40:46.315Z,6b95750e-1e2a-4d67-b145-561cb34796e6
202608291007334041,138,CDC Orders Bronze,pl_Orders,BHG-DATA-PLATFORM-CORE-DEV/2_Engineering/3_Orchestration/pl_Orders,SAMMS,BR,DEV,2026-08-29T10:07:27.385Z,,RUNNING,SCHEDULE,Fabric,3,0,0,0,0,1,2026-08-29T10:07:27.385Z,4e6bfb73-69bb-458d-aac4-f14e1e5ab525
202608291151317918,138,CDC Orders Bronze,pl_Orders,BHG-DATA-PLATFORM-CORE-DEV/2_Engineering/3_Orchestration/pl_Orders,SAMMS,BR,DEV,2026-08-29T11:51:25.756Z,,RUNNING,SCHEDULE,Fabric,3,0,0,0,0,1,2026-08-29T11:51:25.756Z,fb499d6c-a550-45fe-82f0-e453ac2a136f
202608291209281098,138,CDC Orders Bronze,pl_Orders,BHG-DATA-PLATFORM-CORE-DEV/2_Engineering/3_Orchestration/pl_Orders,SAMMS,BR,DEV,2026-08-29T12:09:23.132Z,,RUNNING,SCHEDULE,Fabric,3,0,0,0,0,1,2026-08-29T12:09:23.132Z,a5a520af-eb61-4488-afb7-d321bfb4d61f
202608291315186981,138,CDC Orders Bronze,pl_Orders,BHG-DATA-PLATFORM-CORE-DEV/2_Engineering/3_Orchestration/pl_Orders,SAMMS,BR,DEV,2026-08-29T13:15:13.544Z,,RUNNING,SCHEDULE,Fabric,3,0,0,0,0,1,2026-08-29T13:15:13.544Z,ef096080-d454-467e-a4bd-595a9d6d8014
202608291106502148,138,CDC Orders Bronze,pl_Orders,BHG-DATA-PLATFORM-CORE-DEV/2_Engineering/3_Orchestration/pl_Orders,SAMMS,BR,DEV,2026-08-29T11:06:44.200Z,,RUNNING,SCHEDULE,Fabric,3,0,0,0,0,1,2026-08-29T11:06:44.200Z,1592a1fb-22e4-4205-9288-926388ef63cd
20260907051943,101,QQ_GLTRAN Silver Pipeline,nb_qq_gltran_brz_to_slv,/notebooks/nb_qq_qltran_brz_to_slv,LAKEHOUSE,SL,DEV,2026-09-07T05:19:51.298Z,,RUNNING,SCHEDULE,Fabric,1,0,0,0,0,1,2026-09-07T05:19:51.298Z,bca532eb-83d7-4e3e-bde2-7cc9db9dc122
20260831123020,101,QQ_GLTRAN Silver Pipeline,nb_qq_gltran_brz_to_slv,/notebooks/nb_qq_qltran_brz_to_slv,LAKEHOUSE,SL,DEV,2026-08-31T12:30:40.649Z,,RUNNING,SCHEDULE,Fabric,1,0,0,0,0,1,2026-08-31T12:30:40.649Z,0da6e75e-5a69-4862-a340-cdd568a9c764
20260908055525,101,QQ_GLTRAN Silver Pipeline,nb_qq_gltran_brz_to_slv,/notebooks/nb_qq_qltran_brz_to_slv,LAKEHOUSE,SL,DEV,2026-09-08T05:55:27.229Z,,RUNNING,SCHEDULE,Fabric,1,0,0,0,0,1,2026-09-08T05:55:27.229Z,d21a22ed-079c-4197-be60-19877f0c18c0
20260908082851,101,QQ_GLTRAN Silver Pipeline,nb_qq_gltran_brz_to_slv,/notebooks/nb_qq_qltran_brz_to_slv,LAKEHOUSE,SL,DEV,2026-09-08T08:28:53.239Z,,RUNNING,SCHEDULE,Fabric,1,0,0,0,0,1,2026-09-08T08:28:53.239Z,6e2a224e-b08c-490a-be8f-d3678578d491
20260904102015,101,QQ_GLTRAN Silver Pipeline,nb_qq_gltran_brz_to_slv,/notebooks/nb_qq_qltran_brz_to_slv,LAKEHOUSE,SL,DEV,2026-09-04T10:20:26.187Z,,RUNNING,SCHEDULE,Fabric,1,0,0,0,0,1,2026-09-04T10:20:26.187Z,a2b79122-a062-4ea8-a301-db2a1318199f
20260902102834,101,QQ_GLTRAN Silver Pipeline,nb_qq_gltran_brz_to_slv,/notebooks/nb_qq_qltran_brz_to_slv,LAKEHOUSE,SL,DEV,2026-09-02T10:28:43.828Z,,RUNNING,SCHEDULE,Fabric,1,0,0,0,0,1,2026-09-02T10:28:43.828Z,0bac3e96-9d2f-4fc3-a6af-cb22f235b46a
20260908074022,101,QQ_GLTRAN Silver Pipeline,nb_qq_gltran_brz_to_slv,/notebooks/nb_qq_qltran_brz_to_slv,LAKEHOUSE,SL,DEV,2026-09-08T07:40:24.328Z,,RUNNING,SCHEDULE,Fabric,1,0,0,0,0,1,2026-09-08T07:40:24.328Z,b9964aa1-7649-47f5-a645-afb1522ab816
20260902112817,101,QQ_GLTRAN Silver Pipeline,nb_qq_gltran_brz_to_slv,/notebooks/nb_qq_qltran_brz_to_slv,LAKEHOUSE,SL,DEV,2026-09-02T11:28:26.024Z,,RUNNING,SCHEDULE,Fabric,1,0,0,0,0,1,2026-09-02T11:28:26.024Z,99713cf3-93d8-4ad6-9c4e-9dc07347860e
20260908071053,101,QQ_GLTRAN Silver Pipeline,nb_qq_gltran_brz_to_slv,/notebooks/nb_qq_qltran_brz_to_slv,LAKEHOUSE,SL,DEV,2026-09-08T07:10:54.828Z,,RUNNING,SCHEDULE,Fabric,1,0,0,0,0,1,2026-09-08T07:10:54.828Z,5d18dcda-c6f0-4d67-8736-c6767bdb2394
20260831074008,101,QQ_GLTRAN Silver Pipeline,nb_qq_gltran_brz_to_slv,/notebooks/nb_qq_qltran_brz_to_slv,LAKEHOUSE,SL,DEV,2026-08-31T07:40:15.010Z,,RUNNING,SCHEDULE,Fabric,1,0,0,0,0,1,2026-08-31T07:40:18.245Z,78ce6bae-52b1-44c2-9f7e-188484e707df
20260908105924,101,QQ_GLTRAN Silver Pipeline,nb_qq_gltran_brz_to_slv,/notebooks/nb_qq_qltran_brz_to_slv,LAKEHOUSE,SL,DEV,2026-09-08T10:59:26.429Z,,RUNNING,SCHEDULE,Fabric,1,0,0,0,0,1,2026-09-08T10:59:26.429Z,af81f259-1578-4204-bdb6-a05208e46ed7
20260907104151,101,QQ_GLTRAN Silver Pipeline,nb_qq_gltran_brz_to_slv,/notebooks/nb_qq_qltran_brz_to_slv,LAKEHOUSE,SL,DEV,2026-09-07T11:22:44.232Z,,RUNNING,SCHEDULE,Fabric,1,0,0,0,0,5,2026-09-07T11:22:44.232Z,febd9bc8-75c6-4368-a516-f0351188daa4
20260907124111,101,QQ_GLTRAN Silver Pipeline,nb_qq_gltran_brz_to_slv,/notebooks/nb_qq_qltran_brz_to_slv,LAKEHOUSE,SL,DEV,2026-09-07T12:41:16.955Z,,RUNNING,SCHEDULE,Fabric,1,0,0,0,0,1,2026-09-07T12:41:16.955Z,03d14284-f9c3-4d2e-9729-2e3083b8d33e
20260908081215,101,QQ_GLTRAN Silver Pipeline,nb_qq_gltran_brz_to_slv,/notebooks/nb_qq_qltran_brz_to_slv,LAKEHOUSE,SL,DEV,2026-09-08T08:12:18.173Z,,RUNNING,SCHEDULE,Fabric,1,0,0,0,0,1,2026-09-08T08:12:18.173Z,e25e17c3-1859-46e8-9c58-c119a7671c9c
20260831111314,101,QQ_GLTRAN Silver Pipeline,nb_qq_gltran_brz_to_slv,/notebooks/nb_qq_qltran_brz_to_slv,LAKEHOUSE,SL,DEV,2026-08-31T11:13:30.271Z,,RUNNING,SCHEDULE,Fabric,1,0,0,0,0,1,2026-08-31T11:13:30.271Z,d5eac79e-3c62-41a9-a5d7-bc44d27ead24
20260907131829,101,QQ_GLTRAN Silver Pipeline,nb_qq_gltran_brz_to_slv,/notebooks/nb_qq_qltran_brz_to_slv,LAKEHOUSE,SL,DEV,2026-09-07T13:18:31.348Z,,RUNNING,SCHEDULE,Fabric,1,0,0,0,0,1,2026-09-07T13:18:31.348Z,6100e949-2422-43aa-a662-97fffdd74ef1
